Name,Quantity in 1 unit,Type,Seller,"Price for 1 uint, rub","Sales, tons","Sales, th. rub",Weighted distribution,Price for 1 bit,Market Share,Sales in packages,Sales in bits
GREENFIELD(OR.TR.) CLASSIC BREAKFAST,100,ч,в,89,45,39879,12,"0,89","0,08465409666","448,0786517","44807,86517"
PRINCESSA NOORI CHABRETS I ZEMLYANIKA,25,ч/а,п,46,31,37579,9,"1,84","0,0797717169","816,9347826","20423,36957"
GREENFIELD(OR.TR.) VANILLA CRANBERRY,25,ч/а,п,82,22,48180,11,"3,28","0,102275242","587,5609756","14689,02439"
TESS ORANGE,100,ч/а,в,74,59,41762,14,"0,74","0,08865127974","564,3513514","56435,13514"
NAURYZ INDIYSKIY,250,ч,в,105,65,27183,3,"0,42","0,0577033604","258,8857143","64721,42857"
JUMBO OTBORNIY,100,ч,в,75,44,32364,2,"0,75","0,0687014515","431,52",43152
RISTON ENGLISH ELITE EARL GREY,100,ч/а,п,253,29,36976,15,"2,53","0,0784916843","146,1501976","14615,01976"
HILLWAY ROYAL CEYLON,25,ч/а,п,75,22,32959,7,3,"0,06996450192","439,4533333","10986,33333"
PRINCESSA NOORI KLUB.SO SLV.,25,ч/а,п,46,26,31481,9,"1,84","0,06682704223","684,3695652","17109,23913"
BASILUR CEYLON SPECIAL,100,ч,в,239,14,34319,12,"2,39","0,07285147429","143,5941423","14359,41423"
GOLDEN VICTORIA INDIYSKIY TRADITSIONNIY,25,ч,п,63,23,28500,2,"2,52","0,06049905351","452,3809524","11309,52381"
BROOKE BOND(UNILEVER) DUSHISTIY CHABRETS,25,ч/а,п,42,28,31280,18,"1,68","0,06640036469","744,7619048","18619,04762"
ALOKOZAY CHYORNIY,25,ч,п,70,22,29986,6,"2,8","0,06365349539","428,3714286","10709,28571"
PRINCESSA NOORI CHERNIKA I MYATA,25,ч/а,п,46,24,30168,8,"1,84","0,06403984022","655,826087","16395,65217"
TWININGS ENGLISH BREAKFAST,25,ч,п,177,9,32246,14,"7,08","0,06845096419","182,180791","4554,519774"
TWININGS ENGLISH BREAKFAST,100,ч,в,329,13,41703,14,"3,29","0,08852603609","126,7568389","12675,68389"
PRINCESSA NOORI SEVERNYE YAGODY,25,ч/а,п,46,28,34383,8,"1,84","0,07298733182","747,4565217","18686,41304"
